Treatment assignment,Training sample size,Treatment imbalance,Spatial overlap of test and training data,Meta-learner,Covariate omission,Targeting error mean,Targeting error SD,Targeting error 95% CI,Targeting imprecision mean,Targeting imprecision SD,Targeting imprecision 95% CI,Ranking error mean,Ranking error SD,Ranking error 95% CI,Estimation error mean,Estimation error SD,Estimation error 95% CI,n Virtual studies
Random,1000,0.3,Core,X-learner,Omit covariate,0.491,0.235,"[0.424, 0.558]",0.466,0.059,"[0.450, 0.483]",0.250,0.035,"[0.240, 0.260]",3.321,0.169,"[3.273, 3.369]",50
Random,1000,0.3,Core,DR-learner,Omit covariate,0.526,0.260,"[0.453, 0.600]",0.497,0.058,"[0.481, 0.514]",0.276,0.039,"[0.265, 0.287]",3.499,0.310,"[3.411, 3.587]",50
Random,1000,0.3,Edge,S-learner,Omit covariate,0.653,0.113,"[0.621, 0.685]",0.499,0.081,"[0.476, 0.522]",0.284,0.061,"[0.267, 0.302]",5.372,0.464,"[5.240, 5.504]",50
Random,1000,0.3,Edge,T-learner,Omit covariate,0.613,0.077,"[0.591, 0.635]",0.427,0.085,"[0.403, 0.451]",0.257,0.063,"[0.239, 0.274]",3.470,0.310,"[3.382, 3.558]",50
Random,1000,0.3,Edge,X-learner,Omit covariate,0.621,0.142,"[0.581, 0.662]",0.440,0.058,"[0.424, 0.456]",0.276,0.067,"[0.257, 0.294]",3.546,0.217,"[3.484, 3.607]",50
Random,1000,0.3,Edge,DR-learner,Omit covariate,0.357,0.245,"[0.287, 0.426]",0.345,0.059,"[0.328, 0.361]",0.176,0.029,"[0.168, 0.184]",3.018,0.272,"[2.941, 3.096]",50
Random,250,0.5,Random,S-learner,No omission,0.578,0.239,"[0.511, 0.646]",0.581,0.083,"[0.557, 0.605]",0.455,0.083,"[0.432, 0.479]",7.623,0.385,"[7.513, 7.732]",50
Random,250,0.5,Random,T-learner,No omission,0.566,0.215,"[0.504, 0.627]",0.499,0.083,"[0.475, 0.523]",0.407,0.088,"[0.382, 0.432]",5.646,0.472,"[5.512, 5.781]",50
Random,250,0.5,Random,X-learner,No omission,0.634,0.217,"[0.573, 0.696]",0.434,0.076,"[0.412, 0.455]",0.295,0.050,"[0.281, 0.309]",5.366,0.325,"[5.274, 5.458]",50
Random,250,0.5,Random,DR-learner,No omission,0.504,0.202,"[0.447, 0.562]",0.435,0.069,"[0.416, 0.455]",0.310,0.050,"[0.296, 0.324]",5.248,0.419,"[5.129, 5.367]",50
Random,250,0.5,Core,S-learner,No omission,0.678,0.133,"[0.640, 0.716]",0.599,0.088,"[0.574, 0.624]",0.416,0.080,"[0.394, 0.439]",4.565,0.260,"[4.491, 4.639]",50
Random,250,0.5,Core,T-learner,No omission,0.639,0.279,"[0.560, 0.718]",0.553,0.104,"[0.523, 0.582]",0.428,0.084,"[0.405, 0.452]",4.092,0.416,"[3.974, 4.210]",50
Random,250,0.5,Core,X-learner,No omission,0.551,0.212,"[0.491, 0.612]",0.513,0.086,"[0.488, 0.537]",0.320,0.071,"[0.300, 0.340]",3.765,0.284,"[3.684, 3.845]",50
Random,250,0.5,Core,DR-learner,No omission,0.625,0.243,"[0.556, 0.694]",0.515,0.083,"[0.491, 0.538]",0.343,0.072,"[0.323, 0.364]",3.812,0.439,"[3.687, 3.937]",50
Random,250,0.5,Edge,S-learner,No omission,0.774,0.125,"[0.738, 0.809]",0.645,0.087,"[0.621, 0.670]",0.625,0.216,"[0.564, 0.686]",6.735,0.526,"[6.586, 6.885]",50
Random,250,0.5,Edge,T-learner,No omission,0.620,0.255,"[0.547, 0.692]",0.575,0.098,"[0.547, 0.602]",0.486,0.164,"[0.439, 0.532]",4.243,0.467,"[4.110, 4.376]",50
Random,250,0.5,Edge,X-learner,No omission,0.646,0.214,"[0.586, 0.707]",0.492,0.089,"[0.467, 0.517]",0.339,0.118,"[0.306, 0.373]",3.824,0.293,"[3.741, 3.908]",50
Random,250,0.5,Edge,DR-learner,No omission,0.572,0.267,"[0.496, 0.647]",0.553,0.109,"[0.522, 0.584]",0.422,0.155,"[0.378, 0.466]",4.035,0.453,"[3.906, 4.163]",50
Random,250,0.5,Random,S-learner,Omit covariate,0.703,0.201,"[0.646, 0.760]",0.585,0.090,"[0.560, 0.611]",0.442,0.072,"[0.422, 0.463]",7.606,0.382,"[7.497, 7.714]",50
Random,250,0.5,Random,T-learner,Omit covariate,0.512,0.298,"[0.427, 0.596]",0.520,0.089,"[0.495, 0.545]",0.427,0.089,"[0.401, 0.452]",5.698,0.571,"[5.536, 5.861]",50
Random,250,0.5,Random,X-learner,Omit covariate,0.531,0.251,"[0.460, 0.603]",0.457,0.063,"[0.439, 0.475]",0.315,0.049,"[0.301, 0.329]",5.363,0.342,"[5.265, 5.460]",50
Random,250,0.5,Random,DR-learner,Omit covariate,0.544,0.257,"[0.470, 0.617]",0.485,0.072,"[0.464, 0.505]",0.358,0.078,"[0.336, 0.381]",5.473,0.495,"[5.332, 5.613]",50
Random,250,0.5,Core,S-learner,Omit covariate,0.736,0.156,"[0.692, 0.780]",0.585,0.082,"[0.562, 0.609]",0.418,0.090,"[0.392, 0.443]",4.503,0.250,"[4.432, 4.574]",50
Random,250,0.5,Core,T-learner,Omit covariate,0.604,0.287,"[0.523, 0.686]",0.592,0.088,"[0.567, 0.617]",0.456,0.097,"[0.428, 0.483]",4.330,0.577,"[4.166, 4.494]",50
Random,250,0.5,Core,X-learner,Omit covariate,0.650,0.234,"[0.584, 0.717]",0.525,0.091,"[0.499, 0.551]",0.326,0.066,"[0.307, 0.345]",3.749,0.326,"[3.656, 3.842]",50
Random,250,0.5,Core,DR-learner,Omit covariate,0.538,0.287,"[0.457, 0.619]",0.554,0.088,"[0.529, 0.579]",0.372,0.070,"[0.352, 0.392]",4.037,0.534,"[3.885, 4.189]",50
Random,250,0.5,Edge,S-learner,Omit covariate,0.803,0.147,"[0.761, 0.845]",0.639,0.102,"[0.610, 0.668]",0.595,0.224,"[0.531, 0.658]",6.577,0.707,"[6.376, 6.778]",50
Random,250,0.5,Edge,T-learner,Omit covariate,0.721,0.126,"[0.685, 0.757]",0.575,0.114,"[0.543, 0.608]",0.549,0.169,"[0.501, 0.597]",4.681,0.584,"[4.515, 4.847]",50
Random,250,0.5,Edge,X-learner,Omit covariate,0.710,0.174,"[0.660, 0.759]",0.537,0.090,"[0.512, 0.563]",0.410,0.129,"[0.374, 0.447]",4.044,0.438,"[3.919, 4.168]",50
Random,250,0.5,Edge,DR-learner,Omit covariate,0.701,0.212,"[0.640, 0.761]",0.551,0.124,"[0.516, 0.586]",0.445,0.189,"[0.392, 0.499]",4.262,0.712,"[4.060, 4.465]",50
Random,500,0.5,Random,S-learner,No omission,0.576,0.185,"[0.524, 0.629]",0.548,0.064,"[0.530, 0.566]",0.375,0.055,"[0.359, 0.391]",7.031,0.305,"[6.944, 7.118]",50
Random,500,0.5,Random,T-learner,No omission,0.504,0.266,"[0.428, 0.579]",0.425,0.073,"[0.405, 0.446]",0.305,0.047,"[0.292, 0.319]",5.146,0.340,"[5.049, 5.243]",50
Random,500,0.5,Random,X-learner,No omission,0.500,0.247,"[0.430, 0.570]",0.369,0.052,"[0.354, 0.384]",0.223,0.024,"[0.216, 0.229]",5.007,0.230,"[4.941, 5.072]",50
Random,500,0.5,Random,DR-learner,No omission,0.382,0.242,"[0.313, 0.451]",0.399,0.061,"[0.382, 0.416]",0.244,0.037,"[0.234, 0.255]",4.796,0.333,"[4.702, 4.891]",50
Random,500,0.5,Core,S-learner,No omission,0.671,0.119,"[0.637, 0.704]",0.555,0.071,"[0.534, 0.575]",0.330,0.056,"[0.314, 0.346]",4.216,0.193,"[4.161, 4.271]",50
Random,500,0.5,Core,T-learner,No omission,0.618,0.259,"[0.544, 0.691]",0.494,0.069,"[0.474, 0.513]",0.349,0.059,"[0.332, 0.365]",3.811,0.383,"[3.703, 3.920]",50
Random,500,0.5,Core,X-learner,No omission,0.586,0.213,"[0.526, 0.647]",0.480,0.062,"[0.462, 0.498]",0.267,0.050,"[0.253, 0.281]",3.490,0.271,"[3.413, 3.567]",50
Random,500,0.5,Core,DR-learner,No omission,0.510,0.243,"[0.440, 0.579]",0.482,0.066,"[0.463, 0.500]",0.283,0.060,"[0.265, 0.300]",3.495,0.359,"[3.393, 3.597]",50
Random,500,0.5,Edge,S-learner,No omission,0.727,0.081,"[0.704, 0.750]",0.579,0.070,"[0.559, 0.599]",0.503,0.119,"[0.469, 0.536]",6.059,0.411,"[5.942, 6.176]",50
Random,500,0.5,Edge,T-learner,No omission,0.586,0.209,"[0.527, 0.646]",0.499,0.076,"[0.477, 0.521]",0.373,0.108,"[0.342, 0.403]",3.863,0.386,"[3.753, 3.973]",50
Random,500,0.5,Edge,X-learner,No omission,0.560,0.216,"[0.499, 0.622]",0.426,0.067,"[0.407, 0.445]",0.249,0.068,"[0.229, 0.268]",3.480,0.247,"[3.410, 3.550]",50
Random,500,0.5,Edge,DR-learner,No omission,0.524,0.267,"[0.448, 0.600]",0.454,0.077,"[0.432, 0.476]",0.290,0.087,"[0.265, 0.314]",3.517,0.324,"[3.425, 3.609]",50
Random,500,0.5,Random,S-learner,Omit covariate,0.585,0.201,"[0.528, 0.642]",0.524,0.091,"[0.498, 0.550]",0.371,0.073,"[0.350, 0.391]",7.035,0.274,"[6.957, 7.113]",50
Random,500,0.5,Random,T-learner,Omit covariate,0.470,0.251,"[0.398, 0.541]",0.455,0.071,"[0.434, 0.475]",0.352,0.053,"[0.337, 0.367]",5.308,0.377,"[5.201, 5.415]",50
Random,500,0.5,Random,X-learner,Omit covariate,0.476,0.273,"[0.398, 0.554]",0.407,0.057,"[0.391, 0.423]",0.251,0.030,"[0.242, 0.259]",5.029,0.241,"[4.961, 5.098]",50
Random,500,0.5,Random,DR-learner,Omit covariate,0.380,0.249,"[0.309, 0.451]",0.420,0.051,"[0.406, 0.434]",0.276,0.036,"[0.265, 0.286]",4.870,0.285,"[4.789, 4.951]",50
Random,500,0.5,Core,S-learner,Omit covariate,0.686,0.089,"[0.661, 0.711]",0.551,0.085,"[0.527, 0.575]",0.347,0.062,"[0.330, 0.365]",4.120,0.270,"[4.043, 4.196]",50
Random,500,0.5,Core,T-learner,Omit covariate,0.612,0.274,"[0.534, 0.690]",0.560,0.091,"[0.534, 0.586]",0.387,0.082,"[0.363, 0.410]",3.910,0.450,"[3.782, 4.038]",50
Random,500,0.5,Core,X-learner,Omit covariate,0.554,0.248,"[0.484, 0.625]",0.497,0.066,"[0.479, 0.516]",0.284,0.054,"[0.268, 0.299]",3.514,0.283,"[3.434, 3.595]",50
Random,500,0.5,Core,DR-learner,Omit covariate,0.607,0.266,"[0.531, 0.682]",0.494,0.076,"[0.472, 0.515]",0.312,0.053,"[0.297, 0.327]",3.713,0.431,"[3.591, 3.836]",50
Random,500,0.5,Edge,S-learner,Omit covariate,0.728,0.141,"[0.688, 0.768]",0.577,0.081,"[0.554, 0.600]",0.458,0.136,"[0.419, 0.497]",5.844,0.510,"[5.699, 5.989]",50
Random,500,0.5,Edge,T-learner,Omit covariate,0.713,0.117,"[0.680, 0.746]",0.544,0.076,"[0.522, 0.565]",0.440,0.094,"[0.414, 0.467]",4.255,0.341,"[4.158, 4.352]",50
Random,500,0.5,Edge,X-learner,Omit covariate,0.643,0.152,"[0.600, 0.686]",0.469,0.075,"[0.448, 0.490]",0.306,0.074,"[0.285, 0.327]",3.638,0.282,"[3.558, 3.718]",50
Random,500,0.5,Edge,DR-learner,Omit covariate,0.556,0.256,"[0.483, 0.628]",0.480,0.091,"[0.454, 0.506]",0.328,0.108,"[0.297, 0.358]",3.663,0.378,"[3.555, 3.770]",50
Random,1000,0.5,Random,S-learner,No omission,0.503,0.176,"[0.452, 0.553]",0.481,0.052,"[0.466, 0.496]",0.283,0.041,"[0.271, 0.294]",6.292,0.262,"[6.218, 6.367]",50
Random,1000,0.5,Random,T-learner,No omission,0.484,0.224,"[0.421, 0.548]",0.370,0.064,"[0.352, 0.388]",0.232,0.023,"[0.226, 0.239]",4.752,0.242,"[4.683, 4.821]",50
Random,1000,0.5,Random,X-learner,No omission,0.442,0.251,"[0.370, 0.513]",0.326,0.044,"[0.314, 0.339]",0.186,0.018,"[0.181, 0.191]",4.697,0.179,"[4.646, 4.748]",50
Random,1000,0.5,Random,DR-learner,No omission,0.367,0.241,"[0.299, 0.436]",0.354,0.044,"[0.341, 0.366]",0.189,0.017,"[0.184, 0.194]",4.520,0.254,"[4.448, 4.592]",50
